Frame,Speed,Date,Time,Km marker
309,217,18/10/2023,16:00:33,021+161
310,217,18/10/2023,16:00:33,021+166
311,217,18/10/2023,16:00:33,021+166
312,217,18/10/2023,16:00:33,021+171
313,217,18/10/2023,16:00:33,021+176
314,217,18/10/2023,16:00:33,021+176
315,217,18/10/2023,16:00:33,021+181
316,217,18/10/2023,16:00:34,021+186
317,217,18/10/2023,16:00:34,021+186
318,217,18/10/2023,16:00:34,021+191
319,217,18/10/2023,16:00:34,021+196
320,217,18/10/2023,16:00:34,021+201
321,217,18/10/2023,16:00:34,021+201
322,217,18/10/2023,16:00:34,021+206
323,217,18/10/2023,16:00:34,021+211
324,217,18/10/2023,16:00:34,021+211
325,217,18/10/2023,16:00:34,021+216
326,218,18/10/2023,16:00:34,021+221
327,218,18/10/2023,16:00:34,021+221
328,218,18/10/2023,16:00:34,021+226
329,218,18/10/2023,16:00:34,021+231
330,218,18/10/2023,16:00:34,021+236
331,218,18/10/2023,16:00:34,021+236
332,218,18/10/2023,16:00:34,021+241
333,218,18/10/2023,16:00:35,021+246
334,218,18/10/2023,16:00:35,021+246
335,218,18/10/2023,16:00:35,021+251
336,218,18/10/2023,16:00:35,021+256
337,218,18/10/2023,16:00:35,021+261
338,218,18/10/2023,16:00:35,021+261
339,218,18/10/2023,16:00:35,021+266
340,218,18/10/2023,16:00:35,021+271
341,218,18/10/2023,16:00:35,021+271
342,218,18/10/2023,16:00:35,021+276
343,218,18/10/2023,16:00:35,021+281
344,218,18/10/2023,16:00:35,021+281
345,218,18/10/2023,16:00:35,021+286
346,218,18/10/2023,16:00:35,021+291
347,219,18/10/2023,16:00:35,021+296
348,219,18/10/2023,16:00:35,021+296
349,219,18/10/2023,16:00:35,021+301
350,219,18/10/2023,16:00:36,021+306
351,219,18/10/2023,16:00:36,021+306
352,219,18/10/2023,16:00:36,021+311
353,219,18/10/2023,16:00:36,021+316
354,219,18/10/2023,16:00:36,021+316
355,219,18/10/2023,16:00:36,021+321
356,219,18/10/2023,16:00:36,021+326
357,219,18/10/2023,16:00:36,021+331
358,219,18/10/2023,16:00:36,021+331
359,219,18/10/2023,16:00:36,021+336
360,219,18/10/2023,16:00:36,021+341
361,219,18/10/2023,16:00:36,021+341
362,219,18/10/2023,16:00:36,021+346
363,219,18/10/2023,16:00:36,021+351
364,219,18/10/2023,16:00:36,021+356
365,219,18/10/2023,16:00:36,021+356
366,219,18/10/2023,16:00:36,021+361
367,220,18/10/2023,16:00:37,021+366
368,220,18/10/2023,16:00:37,021+366
369,220,18/10/2023,16:00:37,021+371
370,220,18/10/2023,16:00:37,021+376
371,220,18/10/2023,16:00:37,021+376
372,220,18/10/2023,16:00:37,021+381
373,220,18/10/2023,16:00:37,021+386
374,220,18/10/2023,16:00:37,021+391
375,220,18/10/2023,16:00:37,021+391
376,220,18/10/2023,16:00:37,021+396
377,220,18/10/2023,16:00:37,021+401
378,220,18/10/2023,16:00:37,021+401
379,220,18/10/2023,16:00:37,021+406
380,220,18/10/2023,16:00:37,021+411
381,220,18/10/2023,16:00:37,021+416
382,220,18/10/2023,16:00:37,021+416
383,220,18/10/2023,16:00:37,021+421
384,220,18/10/2023,16:00:37,021+426
385,220,18/10/2023,16:00:37,021+426
386,220,18/10/2023,16:00:38,021+431
387,220,18/10/2023,16:00:38,021+436
388,221,18/10/2023,16:00:38,021+441
389,221,18/10/2023,16:00:38,021+441
390,221,18/10/2023,16:00:38,021+446
391,221,18/10/2023,16:00:38,021+451
392,221,18/10/2023,16:00:38,021+451
393,221,18/10/2023,16:00:38,021+456
394,221,18/10/2023,16:00:38,021+461
395,221,18/10/2023,16:00:38,021+466
396,221,18/10/2023,16:00:38,021+466
397,221,18/10/2023,16:00:38,021+471
398,221,18/10/2023,16:00:38,021+476
399,221,18/10/2023,16:00:38,021+476
400,221,18/10/2023,16:00:38,021+481
401,221,18/10/2023,16:00:38,021+486
402,221,18/10/2023,16:00:39,021+491
403,221,18/10/2023,16:00:39,021+491
404,221,18/10/2023,16:00:39,021+496
405,221,18/10/2023,16:00:39,021+501
406,221,18/10/2023,16:00:39,021+501
407,221,18/10/2023,16:00:39,021+506
408,222,18/10/2023,16:00:39,021+511
409,222,18/10/2023,16:00:39,021+516
410,222,18/10/2023,16:00:39,021+516
411,222,18/10/2023,16:00:39,021+521
412,222,18/10/2023,16:00:39,021+526
413,222,18/10/2023,16:00:39,021+526
414,222,18/10/2023,16:00:39,021+531
415,222,18/10/2023,16:00:39,021+536
416,222,18/10/2023,16:00:39,021+541
417,222,18/10/2023,16:00:39,021+541
418,222,18/10/2023,16:00:39,021+546
419,222,18/10/2023,16:00:40,021+551
420,222,18/10/2023,16:00:40,021+551
421,222,18/10/2023,16:00:40,021+556
422,222,18/10/2023,16:00:40,021+561
423,222,18/10/2023,16:00:40,021+566
424,222,18/10/2023,16:00:40,021+566
425,222,18/10/2023,16:00:40,021+571
426,222,18/10/2023,16:00:40,021+576
427,222,18/10/2023,16:00:40,021+576
428,222,18/10/2023,16:00:40,021+581
429,223,18/10/2023,16:00:40,021+586
430,223,18/10/2023,16:00:40,021+591
431,223,18/10/2023,16:00:40,021+591
432,223,18/10/2023,16:00:40,021+596
433,223,18/10/2023,16:00:40,021+601
434,223,18/10/2023,16:00:40,021+601
435,223,18/10/2023,16:00:40,021+606
436,223,18/10/2023,16:00:40,021+611
437,223,18/10/2023,16:00:41,021+616
438,223,18/10/2023,16:00:41,021+616
439,223,18/10/2023,16:00:41,021+621
440,223,18/10/2023,16:00:41,021+626
441,223,18/10/2023,16:00:41,021+626
442,223,18/10/2023,16:00:41,021+631
443,223,18/10/2023,16:00:41,021+636
444,223,18/10/2023,16:00:41,021+641
445,223,18/10/2023,16:00:41,021+641
446,223,18/10/2023,16:00:41,021+646
447,223,18/10/2023,16:00:41,021+651
448,224,18/10/2023,16:00:41,021+656
449,224,18/10/2023,16:00:41,021+656
450,224,18/10/2023,16:00:41,021+661
451,224,18/10/2023,16:00:41,021+666
452,224,18/10/2023,16:00:41,021+666
453,224,18/10/2023,16:00:41,021+671
454,224,18/10/2023,16:00:42,021+676
455,224,18/10/2023,16:00:42,021+681
456,224,18/10/2023,16:00:42,021+681
457,224,18/10/2023,16:00:42,021+686
458,224,18/10/2023,16:00:42,021+691
459,224,18/10/2023,16:00:42,021+691
460,224,18/10/2023,16:00:42,021+696
461,224,18/10/2023,16:00:42,021+701
462,224,18/10/2023,16:00:42,021+706
463,224,18/10/2023,16:00:42,021+706
464,224,18/10/2023,16:00:42,021+711
465,224,18/10/2023,16:00:42,021+716
466,224,18/10/2023,16:00:42,021+721
467,224,18/10/2023,16:00:42,021+721
468,225,18/10/2023,16:00:42,021+726
469,225,18/10/2023,16:00:42,021+731
470,225,18/10/2023,16:00:42,021+731
471,225,18/10/2023,16:00:42,021+736
472,225,18/10/2023,16:00:43,021+741
