frame,speed,date,time,marker
502,226,18/10/2023,16:00:44,021+646
503,226,18/10/2023,16:00:44,021+651
504,226,18/10/2023,16:00:44,021+656
505,226,18/10/2023,16:00:44,021+656
506,227,18/10/2023,16:00:44,021+661
507,227,18/10/2023,16:00:45,021+666
508,227,18/10/2023,16:00:45,021+671
509,227,18/10/2023,16:00:45,021+671
510,227,18/10/2023,16:00:45,021+676
511,227,18/10/2023,16:00:45,021+681
512,227,18/10/2023,16:00:45,021+686
513,227,18/10/2023,16:00:45,021+686
514,227,18/10/2023,16:00:45,021+691
515,227,18/10/2023,16:00:45,021+696
516,227,18/10/2023,16:00:45,021+696
517,227,18/10/2023,16:00:45,021+701
518,227,18/10/2023,16:00:45,021+706
519,227,18/10/2023,16:00:45,021+711
520,227,18/10/2023,16:00:45,021+711
521,228,18/10/2023,16:00:45,021+716
522,228,18/10/2023,16:00:45,021+721
523,228,18/10/2023,16:00:46,021+726
524,228,18/10/2023,16:00:46,021+726
525,228,18/10/2023,16:00:46,021+731
526,228,18/10/2023,16:00:46,021+736
527,228,18/10/2023,16:00:46,021+741
528,228,18/10/2023,16:00:46,021+741
529,228,18/10/2023,16:00:46,021+746
530,228,18/10/2023,16:00:46,021+751
531,228,18/10/2023,16:00:46,021+751
532,228,18/10/2023,16:00:46,021+756
533,228,18/10/2023,16:00:46,021+761
534,229,18/10/2023,16:00:46,021+766
535,229,18/10/2023,16:00:46,021+766
536,229,18/10/2023,16:00:46,021+771
537,229,18/10/2023,16:00:46,021+776
538,229,18/10/2023,16:00:46,021+781
539,229,18/10/2023,16:00:46,021+781
540,229,18/10/2023,16:00:46,021+786
541,229,18/10/2023,16:00:47,021+791
542,229,18/10/2023,16:00:47,021+796
543,229,18/10/2023,16:00:47,021+796
544,229,18/10/2023,16:00:47,021+801
545,229,18/10/2023,16:00:47,021+806
546,229,18/10/2023,16:00:47,021+811
547,229,18/10/2023,16:00:47,021+811
548,230,18/10/2023,16:00:47,021+816
549,230,18/10/2023,16:00:47,021+821
550,230,18/10/2023,16:00:47,021+826
551,230,18/10/2023,16:00:47,021+826
552,230,18/10/2023,16:00:47,021+831
553,230,18/10/2023,16:00:47,021+836
554,230,18/10/2023,16:00:47,021+841
555,230,18/10/2023,16:00:47,021+841
556,230,18/10/2023,16:00:47,021+846
557,230,18/10/2023,16:00:47,021+851
558,230,18/10/2023,16:00:47,021+851
559,230,18/10/2023,16:00:48,021+856
560,230,18/10/2023,16:00:48,021+861
561,230,18/10/2023,16:00:48,021+866
562,230,18/10/2023,16:00:48,021+866
563,231,18/10/2023,16:00:48,021+871
564,231,18/10/2023,16:00:48,021+876
565,231,18/10/2023,16:00:48,021+881
566,231,18/10/2023,16:00:48,021+881
567,231,18/10/2023,16:00:48,021+886
568,231,18/10/2023,16:00:48,021+891
569,231,18/10/2023,16:00:48,021+896
570,231,18/10/2023,16:00:48,021+896
571,231,18/10/2023,16:00:48,021+901
572,231,18/10/2023,16:00:48,021+906
573,231,18/10/2023,16:00:48,021+911
574,231,18/10/2023,16:00:48,021+911
575,231,18/10/2023,16:00:48,021+916
576,231,18/10/2023,16:00:49,021+921
577,232,18/10/2023,16:00:49,021+926
578,232,18/10/2023,16:00:49,021+926
579,232,18/10/2023,16:00:49,021+931
580,232,18/10/2023,16:00:49,021+936
581,232,18/10/2023,16:00:49,021+941
582,232,18/10/2023,16:00:49,021+941
583,232,18/10/2023,16:00:49,021+946
584,232,18/10/2023,16:00:49,021+951
585,232,18/10/2023,16:00:49,021+956
586,232,18/10/2023,16:00:49,021+956
587,232,18/10/2023,16:00:49,021+961
588,232,18/10/2023,16:00:49,021+966
589,232,18/10/2023,16:00:49,021+971
590,232,18/10/2023,16:00:49,021+971
591,232,18/10/2023,16:00:49,021+976
592,232,18/10/2023,16:00:49,021+981
593,232,18/10/2023,16:00:50,021+986
594,232,18/10/2023,16:00:50,021+986
595,233,18/10/2023,16:00:50,021+991
596,233,18/10/2023,16:00:50,021+996
597,233,18/10/2023,16:00:50,022+001
598,233,18/10/2023,16:00:50,022+001
599,233,18/10/2023,16:00:50,022+006
600,233,18/10/2023,16:00:50,022+011
601,233,18/10/2023,16:00:50,022+016
602,233,18/10/2023,16:00:50,022+016
603,233,18/10/2023,16:00:50,022+021
604,233,18/10/2023,16:00:50,022+026
605,233,18/10/2023,16:00:50,022+031
606,233,18/10/2023,16:00:50,022+031
607,233,18/10/2023,16:00:50,022+036
608,233,18/10/2023,16:00:50,022+041
609,233,18/10/2023,16:00:50,022+046
610,233,18/10/2023,16:00:50,022+046
611,233,18/10/2023,16:00:51,022+051
612,233,18/10/2023,16:00:51,022+056
613,233,18/10/2023,16:00:51,022+061
614,233,18/10/2023,16:00:51,022+061
615,234,18/10/2023,16:00:51,022+066
616,234,18/10/2023,16:00:51,022+071
617,234,18/10/2023,16:00:51,022+076
618,234,18/10/2023,16:00:51,022+076
619,234,18/10/2023,16:00:51,022+081
620,234,18/10/2023,16:00:51,022+086
621,234,18/10/2023,16:00:51,022+091
622,234,18/10/2023,16:00:51,022+091
623,234,18/10/2023,16:00:51,022+096
624,234,18/10/2023,16:00:51,022+101
625,234,18/10/2023,16:00:51,022+106
626,234,18/10/2023,16:00:51,022+106
627,234,18/10/2023,16:00:51,022+111
628,234,18/10/2023,16:00:52,022+116
629,234,18/10/2023,16:00:52,022+121
630,234,18/10/2023,16:00:52,022+121
631,234,18/10/2023,16:00:52,022+126
632,234,18/10/2023,16:00:52,022+131
633,234,18/10/2023,16:00:52,022+136
634,234,18/10/2023,16:00:52,022+136
635,234,18/10/2023,16:00:52,022+141
636,235,18/10/2023,16:00:52,022+146
637,235,18/10/2023,16:00:52,022+151
638,235,18/10/2023,16:00:52,022+151
639,235,18/10/2023,16:00:52,022+156
640,235,18/10/2023,16:00:52,022+161
641,235,18/10/2023,16:00:52,022+166
642,235,18/10/2023,16:00:52,022+166
643,235,18/10/2023,16:00:52,022+171
644,235,18/10/2023,16:00:52,022+176
645,235,18/10/2023,16:00:53,022+181
646,235,18/10/2023,16:00:53,022+186
647,235,18/10/2023,16:00:53,022+186
648,235,18/10/2023,16:00:53,022+191
649,235,18/10/2023,16:00:53,022+196
650,235,18/10/2023,16:00:53,022+201
651,235,18/10/2023,16:00:53,022+201
652,235,18/10/2023,16:00:53,022+206
653,235,18/10/2023,16:00:53,022+211
654,235,18/10/2023,16:00:53,022+216
655,235,18/10/2023,16:00:53,022+216
656,235,18/10/2023,16:00:53,022+221
657,235,18/10/2023,16:00:53,022+226
658,235,18/10/2023,16:00:53,022+231
659,235,18/10/2023,16:00:53,022+236
660,235,18/10/2023,16:00:53,022+236
661,236,18/10/2023,16:00:53,022+241
662,236,18/10/2023,16:00:54,022+246
